Day,HR (bpm)
917,110.1603467
918,110.1381816
919,110.1160166
920,110.0938515
921,110.0716865
922,110.0495214
923,110.0273563
924,110.0051913
925,109.9830262
926,109.9608612
927,109.9386961
928,109.9165311
929,109.894366
930,109.8722009
931,109.8500359
932,109.8278708
933,109.8057058
934,109.7835407
935,109.7613756
936,109.7392106
937,109.7170455
938,109.6948805
939,109.6727154
940,109.6505503
941,109.6357347
942,109.6209192
943,109.6061036
944,109.591288
945,109.5764724
946,109.5616568
947,109.5468412
948,109.5320256
949,109.51721
950,109.5023944
951,109.4875788
952,109.4727632
953,109.4579476
954,109.443132
955,109.4283164
956,109.4135009
957,109.3986853
958,109.3838697
959,109.3690541
960,109.3542385
961,109.3394229
962,109.3246073
963,109.3097917
964,109.2949761
965,109.2801605
966,109.2653449
967,109.2505293
968,109.2357137
969,109.2208982
970,109.2060826
971,109.191442
972,109.1768013
973,109.1621607
974,109.1475201
975,109.1328795
976,109.1182389
977,109.1035983
978,109.0889577
979,109.0743171
980,109.0596765
981,109.0450359
982,109.0303953
983,109.0157547
984,109.0011141
985,108.9864735
986,108.9718329
987,108.9571923
988,108.9425517
989,108.9279111
990,108.9132705
991,108.8986298
992,108.8839892
993,108.8693486
994,108.854708
995,108.8400674
996,108.8254268
997,108.8107862
998,108.7961456
999,108.781505
1000,108.7668644
1001,108.7519905
1002,108.7371166
1003,108.7222426
1004,108.7073687
1005,108.6924948
1006,108.6776209
1007,108.662747
1008,108.647873
1009,108.6329991
1010,108.6181252
1011,108.6032513
1012,108.5883773
1013,108.5735034
1014,108.5586295
1015,108.5437556
1016,108.5288817
1017,108.5140077
1018,108.4991338
1019,108.4842599
1020,108.469386
1021,108.454512
1022,108.4396381
1023,108.4247642
1024,108.4098903
1025,108.3950164
1026,108.3801424
1027,108.3652685
1028,108.3503946
1029,108.3355207
1030,108.3206468
1031,108.2910156
1032,108.2613844
1033,108.2317532
1034,108.202122
1035,108.1724908
1036,108.1428596
1037,108.1132285
1038,108.0835973
1039,108.0539661
1040,108.0243349
1041,107.9947037
1042,107.9650725
1043,107.9354413
1044,107.9058102
1045,107.876179
1046,107.8465478
1047,107.8169166
1048,107.7872854
1049,107.7576542
1050,107.7280231
1051,107.6983919
1052,107.6687607
1053,107.6391295
1054,107.6094983
1055,107.5798671
1056,107.5502359
1057,107.5206048
1058,107.4909736
1059,107.4613424
1060,107.4317112
1061,107.4127626
1062,107.3938139
1063,107.3748653
1064,107.3559167
1065,107.3369681
1066,107.3180194
1067,107.2990708
1068,107.2801222
1069,107.2611736
1070,107.2422249
1071,107.2232763
1072,107.2043277
1073,107.1853791
1074,107.1664304
1075,107.1474818
1076,107.1285332
1077,107.1095846
1078,107.0906359
1079,107.0716873
1080,107.0527387
1081,107.0337901
1082,107.0148414
1083,106.9958928
1084,106.9769442
1085,106.9579955
1086,106.9390469
1087,106.9200983
1088,106.9011497
1089,106.882201
1090,106.8632524
1091,106.8443038
1092,106.8253552
1093,106.8064065
1094,106.7874579
1095,106.7685093
